study_hours,attendance,practice_tests,sleep_hours,social_media_hours,gaming_hours,coffee_cups,group_study,assignments_completed,passed_exam
12,95,6,7.5,1.0,0.5,1,1,9,1
11,92,5,7.0,1.5,1.0,2,1,8,1
10,90,5,6.5,2.0,1.5,1,1,8,1
9,88,4,7.0,2.0,2.0,2,1,7,1
8,85,4,6.0,2.5,2.0,2,1,7,1
7,82,3,6.5,3.0,2.5,1,1,6,1
13,96,6,7.0,1.0,0.5,2,1,9,1
14,98,7,7.5,0.5,0.5,1,1,10,1
6,80,3,6.0,3.0,3.0,2,0,6,1
9,86,4,7.5,2.0,1.5,1,0,7,1
10,91,5,8.0,1.5,1.0,2,1,8,1
8,84,4,7.0,2.5,1.5,1,1,7,1
11,94,6,6.5,1.5,1.0,3,1,9,1
7,83,3,7.0,3.0,2.0,2,0,6,1
12,93,6,8.0,1.0,1.0,2,1,9,1
5,78,2,6.0,3.5,3.0,2,0,5,0
4,75,1,5.5,4.0,3.5,3,0,4,0
6,72,2,6.0,4.5,4.0,2,0,5,0
3,70,1,5.0,5.0,4.5,3,0,3,0
5,74,2,6.5,4.0,3.0,2,0,4,0
2,68,0,5.5,5.0,5.0,4,0,2,0
4,71,1,6.0,4.5,4.0,3,0,3,0
6,76,2,5.5,4.0,3.5,3,0,5,0
3,69,1,5.0,5.5,5.0,4,0,2,0
5,73,2,6.0,4.5,3.5,2,0,4,0
4,67,1,5.5,5.0,4.5,3,0,3,0
6,79,2,6.5,3.5,3.0,2,0,5,0
2,65,0,5.0,6.0,5.5,4,0,1,0
7,81,3,6.5,3.5,2.5,2,1,6,1
8,87,4,7.0,2.5,2.0,1,0,7,1
9,89,4,6.5,2.0,1.5,2,1,7,1
5,77,2,6.0,3.5,3.0,2,0,5,0
3,66,1,5.5,5.5,4.5,3,0,2,0
10,92,5,7.5,1.5,1.0,1,1,8,1
11,93,5,7.0,1.0,1.0,2,1,9,1
4,72,1,5.5,4.5,4.0,3,0,3,0
