"hours_studied","practice_projects","result"
"7.01","0.85","fail"
"5.7","1.01","fail"
"7.52","3.08","pass"
"7.85","1.41","pass"
"5.55","1.92","fail"
"3.34","3.1","fail"
"8.33","3.46","pass"
"2.37","0.54","fail"
"8.35","3.24","pass"
"7.4","0.89","pass"
"7.23","3.1","pass"
"1.37","1.85","fail"
"8.39","0.02","pass"
"8.25","4.49","pass"
"2.34","0.16","fail"
"8.03","3.76","pass"
"3.25","4.63","fail"
"6.83","0.86","fail"
"6.44","3.1","pass"
"4.78","4.24","pass"
"2.97","0.08","fail"
"3.41","0.41","fail"
"1.64","2.78","fail"
"8.18","2.64","pass"
"5.5","0.05","fail"
"1.12","0.02","fail"
"6.89","0.21","fail"
"9.36","2.77","pass"
"6.55","0.27","fail"
"2.28","2.62","fail"
"5.79","2.4","pass"
"9.17","3.52","pass"
"1.17","5.29","fail"
"4","4.26","fail"
"1.93","2.71","fail"
"7.98","0.89","pass"
"2.94","3.55","fail"
"9.88","4.6","pass"
"7.43","1.74","pass"
"9.91","3.9","pass"
"4.11","5.57","pass"
"2.98","1.59","fail"
"2.95","3.55","fail"
"1.84","5.96","fail"
"1.95","1.93","fail"
"7.76","4.95","pass"
"1.38","5.04","fail"
"3.14","5.56","pass"
"3.52","3.27","fail"
"6.63","1.15","fail"
"2.65","0.18","fail"
"9.4","5.92","pass"
"2.22","5.3","fail"
"3.65","3.36","fail"
"7.41","0.73","pass"
"4.52","5.29","pass"
"4.13","5.78","pass"
"5.89","5.69","pass"
"2.15","0.64","fail"
"2.64","5.64","pass"
"4.64","3.54","pass"
"2.12","5.46","pass"
"9.01","1.04","pass"
"5.88","3.7","pass"
"8.4","4.48","pass"
"4.06","3.15","fail"
"3.22","5.33","pass"
"2.71","1.66","fail"
"8.5","3.84","pass"
"4.78","4.83","pass"
"8.01","5.72","pass"
"5.2","5.34","pass"
"2.41","3.53","fail"
"6.71","3.01","pass"
"2","4.84","fail"
"5.69","4.32","pass"
"5.77","4.73","pass"
"2.79","5.61","fail"
"1.5","1.29","fail"
"2.54","1.75","fail"
"8.94","2.82","pass"
"5.08","4.58","pass"
"9.99","2.13","pass"
"3.8","1.1","fail"
"6.34","3.68","pass"
"9.61","0.47","pass"
"8.93","1.87","pass"
"8.93","5.34","pass"
"3.69","3.48","fail"
"9.02","2.47","pass"
"6.9","5.91","pass"
"9.47","4.51","pass"
"4.07","3.94","fail"
"7.17","3.13","pass"
"4.09","1.31","fail"
"6.79","3.63","pass"
"6.99","0.6","fail"
"8.58","1.75","pass"
"4.16","0","fail"
"4.16","0.93","fail"
"6.8","0.65","pass"
"2.62","3.93","fail"
"6.78","3.91","pass"
"4.21","3.69","fail"
"4.86","1.17","fail"
"5.99","3.23","pass"
"4.7","3.93","pass"
"7.27","1.35","pass"
"5.86","4.88","pass"
"3.86","3.54","fail"
"5.06","5.94","pass"
"8.73","0.25","pass"
"4.78","0.98","fail"
"4.66","0.01","fail"
"5.15","1.85","fail"
"7.43","2.48","pass"
"2.7","4.78","fail"
"9.16","5.64","pass"
"2.88","5.68","pass"
"6.7","3.84","pass"
"5.55","1.95","fail"
"1.98","5.43","fail"
"9.28","3.41","pass"
"4.39","0.81","fail"
"1.99","0.03","fail"
"1.2","1.41","fail"
"8.44","4.95","pass"
"6.38","0.77","fail"
"3.6","3.27","fail"
"1.01","3.91","fail"
"5.77","4.72","pass"
"7.48","5.41","pass"
"9.01","2.11","pass"
"8.73","4.77","pass"
"9.47","4.87","pass"
"1.8","4.79","fail"
"8.63","1.12","pass"
"9.7","4.84","pass"
"4.99","5.44","pass"
"3.44","4.92","pass"
"6.18","5.51","pass"
"1.54","5.08","fail"
"8.65","2.34","pass"
"9.78","0.79","pass"
"5.61","5.81","pass"
"5.99","3.94","pass"
"2.17","1.2","fail"
"2.04","0.92","fail"
"4.44","3.38","pass"
"7.39","1.66","pass"
"5.33","3.71","pass"
"1.39","1.7","fail"
"9.34","5.29","pass"
"3.84","1.43","fail"
"8.48","5.23","pass"
"8.46","2.72","pass"
"8.05","5.34","pass"
"8.9","0.85","pass"
"6.52","2.76","pass"
"5.08","4.07","pass"
"4.3","0.84","fail"
"1.98","2.97","fail"
"4.16","2.81","fail"
"2.39","3.76","fail"
"4.18","4.89","pass"
"4.05","1.71","fail"
"4.69","3.32","fail"
"2.28","5.56","fail"
