"feature_x","feature_y","pattern"
"-0.521","-2.579","same_sign"
"-0.623","-1.735","same_sign"
"-2.303","-1.269","same_sign"
"1.759","2.299","same_sign"
"-0.932","0.747","different_sign"
"0.293","0.622","same_sign"
"1.329","1.575","same_sign"
"1.058","2.97","same_sign"
"-2.057","-2.053","same_sign"
"0.449","1.307","same_sign"
"-0.377","-0.594","same_sign"
"-2.74","-1.38","same_sign"
"1.713","1.546","same_sign"
"-2.055","-0.429","same_sign"
"0.698","-0.014","different_sign"
"2.486","0.518","same_sign"
"0.323","-1.655","different_sign"
"-2.222","1.062","different_sign"
"-0.031","1.42","different_sign"
"-0.312","-1.566","different_sign"
"0.138","0.248","same_sign"
"0.594","-0.864","different_sign"
"0.859","-1.192","different_sign"
"-0.267","1.579","same_sign"
"2.975","0.385","same_sign"
"2.115","-2.639","different_sign"
"1.131","-1.543","different_sign"
"0.97","-2.874","different_sign"
"-2.397","-1.155","same_sign"
"0.62","0.291","same_sign"
"2.551","-0.974","different_sign"
"-0.485","0.807","same_sign"
"2.536","-2.897","different_sign"
"1.806","-1.373","different_sign"
"1.836","-2.409","different_sign"
"0.358","-2.197","different_sign"
"2.268","0.854","same_sign"
"0.467","1.557","same_sign"
"-0.112","2.167","different_sign"
"-2.538","-0.009","different_sign"
"1.55","-2.76","different_sign"
"1.927","0.182","same_sign"
"-1.036","0.46","same_sign"
"-0.319","2.579","different_sign"
"-0.865","2.326","different_sign"
"-1.281","2.135","different_sign"
"-2.804","0.245","different_sign"
"0.667","1.352","same_sign"
"2.14","-0.916","different_sign"
"0.136","2.627","same_sign"
"-0.8","2.074","different_sign"
"-2.442","-2.744","same_sign"
"0.193","2.909","same_sign"
"-2.788","-1.606","same_sign"
"-1.901","-0.413","same_sign"
"0.802","-1.668","different_sign"
"-2.853","-1.831","same_sign"
"0.588","-2.734","different_sign"
"2.25","-2.117","different_sign"
"2.08","2.787","same_sign"
"2.085","1.828","same_sign"
"-2.062","-2.519","same_sign"
"0.145","-1.424","same_sign"
"1.442","1.527","same_sign"
"-0.874","2.984","different_sign"
"0.698","-0.432","different_sign"
"-1.837","-1.662","same_sign"
"1.238","-0.011","same_sign"
"1.608","1.612","same_sign"
"0.366","-1.691","same_sign"
"2.5","1.113","same_sign"
"-0.688","-1.872","same_sign"
"2.511","-2.838","different_sign"
"0.769","-2.343","different_sign"
"-2.839","-1.295","same_sign"
"-2.194","-1.538","same_sign"
"0.895","-1.448","different_sign"
"-2.877","0.916","different_sign"
"-2.654","-2.153","same_sign"
"2.375","-0.67","different_sign"
"-1.302","2.779","different_sign"
"2.697","1.942","same_sign"
"2.105","2.814","same_sign"
"2.285","1.187","same_sign"
"2.66","0.394","same_sign"
"-2.004","1.077","different_sign"
"-1.185","0.802","different_sign"
"1.525","2.47","same_sign"
"-1.942","2.377","different_sign"
"-1.328","-1.034","same_sign"
"-2.274","-2.864","same_sign"
"-2.764","-0.929","same_sign"
"2.489","-2.535","different_sign"
"-0.772","-1.299","same_sign"
"-1.573","1.61","different_sign"
"-1.091","-2.537","same_sign"
"0.769","2.35","same_sign"
"-2.444","0.56","different_sign"
"1.72","0.174","different_sign"
"-2.489","1.639","different_sign"
"-2.783","0.432","different_sign"
"1.574","1.56","same_sign"
"1.575","2.424","same_sign"
"2.802","-1.493","different_sign"
"1.521","2.587","same_sign"
"-1.498","0.098","different_sign"
"-0.61","2.149","different_sign"
"2.675","0.903","same_sign"
"0.511","-2.831","different_sign"
"2.303","-1.483","different_sign"
"-2.431","1.977","different_sign"
"0.198","-0.989","same_sign"
"0.8","-0.147","different_sign"
"2.315","0.335","different_sign"
"2.198","0.967","same_sign"
"2.158","-0.964","different_sign"
"-0.572","0.218","different_sign"
"2.449","1.121","same_sign"
"-2.35","-2.457","same_sign"
"-1.767","-1.937","same_sign"
"-1.526","2.272","different_sign"
"-0.573","2.233","different_sign"
"-1.214","-1.678","same_sign"
"0.831","0.702","different_sign"
"-2.19","0.075","different_sign"
"0.875","-2.524","different_sign"
"1.772","1.354","same_sign"
"1.604","-0.125","same_sign"
"1.821","-1.88","different_sign"
"-0.664","-0.452","different_sign"
"1.74","-0.433","different_sign"
"-1.34","0.841","different_sign"
"0.132","-0.228","same_sign"
"-1.686","0.371","different_sign"
"-2.603","1.597","different_sign"
"2.831","1.639","same_sign"
"0.676","-0.225","different_sign"
"2.593","-0.54","different_sign"
"-2.743","-0.13","same_sign"
"2.608","0.605","same_sign"
"-1.327","2.45","different_sign"
"-0.893","2.091","different_sign"
"1.455","2.15","same_sign"
"0.751","-2.257","different_sign"
