"feature_x","feature_y","ring"
"1.308","0.119","inner_ring"
"1.247","0.018","inner_ring"
"0.965","-0.508","inner_ring"
"0.197","1.229","inner_ring"
"-1.194","0.645","inner_ring"
"1.105","-0.167","inner_ring"
"0.9","-0.797","inner_ring"
"-1.034","-0.401","inner_ring"
"0.169","-1.311","inner_ring"
"1.051","-0.455","inner_ring"
"0.924","0.707","inner_ring"
"1.188","0.243","inner_ring"
"-0.489","-0.92","inner_ring"
"-0.997","-0.826","inner_ring"
"-0.646","0.939","inner_ring"
"-0.692","-1.061","inner_ring"
"0.852","0.947","inner_ring"
"1.063","0.652","inner_ring"
"1.187","-0.205","inner_ring"
"-1.328","0.415","inner_ring"
"-0.49","1.135","inner_ring"
"-0.923","0.696","inner_ring"
"-0.814","-0.576","inner_ring"
"-0.795","0.733","inner_ring"
"0.902","0.418","inner_ring"
"1.051","0.693","inner_ring"
"1.241","-0.093","inner_ring"
"0.288","1.114","inner_ring"
"0.701","0.938","inner_ring"
"-1.282","0.368","inner_ring"
"-1.13","-0.278","inner_ring"
"1.285","-0.154","inner_ring"
"-0.415","-0.997","inner_ring"
"0.086","-1.325","inner_ring"
"-1.039","0.64","inner_ring"
"-0.382","-1.005","inner_ring"
"0.295","-1.123","inner_ring"
"0.833","1.005","inner_ring"
"-0.875","-0.743","inner_ring"
"0.348","-1.058","inner_ring"
"-0.122","-1.096","inner_ring"
"0.764","-1.131","inner_ring"
"-1.155","-0.396","inner_ring"
"-1.104","0.65","inner_ring"
"-0.656","-1.139","inner_ring"
"-0.267","1.075","inner_ring"
"0.154","1.114","inner_ring"
"1.038","0.676","inner_ring"
"-0.954","-0.525","inner_ring"
"-0.743","-1.022","inner_ring"
"0.866","-0.551","inner_ring"
"0.923","0.941","inner_ring"
"-0.858","0.627","inner_ring"
"0.84","-0.698","inner_ring"
"-1.136","-0.191","inner_ring"
"0.992","0.488","inner_ring"
"-0.019","-1.179","inner_ring"
"-1.103","0.307","inner_ring"
"-1.099","0.185","inner_ring"
"1.037","-0.93","inner_ring"
"-1.215","-0.188","inner_ring"
"-0.631","-1.189","inner_ring"
"1.119","0.092","inner_ring"
"1.311","-0.36","inner_ring"
"1.144","0.121","inner_ring"
"-1.167","0.3","inner_ring"
"-0.955","-0.338","inner_ring"
"0.59","-1.207","inner_ring"
"-0.03","-1.224","inner_ring"
"-0.941","0.786","inner_ring"
"1.072","-0.146","inner_ring"
"-0.396","1.189","inner_ring"
"-1.284","0.599","inner_ring"
"0.956","0.42","inner_ring"
"0.293","1.333","inner_ring"
"0.216","1.227","inner_ring"
"-0.563","-1.078","inner_ring"
"0.706","-0.959","inner_ring"
"1.049","-0.907","inner_ring"
"0.576","1.145","inner_ring"
"1.149","0.655","inner_ring"
"0.044","-1.023","inner_ring"
"-1.056","-0.918","inner_ring"
"0.383","1.156","inner_ring"
"0.521","-0.905","inner_ring"
"0.164","1.234","inner_ring"
"-0.168","-1.232","inner_ring"
"0.261","1.25","inner_ring"
"-0.168","1.08","inner_ring"
"-0.746","-0.952","inner_ring"
"1.313","-0.009","inner_ring"
"-1.304","-0.084","inner_ring"
"0.836","0.962","inner_ring"
"0.344","1.304","inner_ring"
"0.828","0.673","inner_ring"
"-0.381","1.145","inner_ring"
"1.026","0.537","inner_ring"
"1.126","0.334","inner_ring"
"0.692","-1.11","inner_ring"
"-0.969","-0.868","inner_ring"
"0.925","0.733","inner_ring"
"0.351","1.272","inner_ring"
"-1.11","-0.888","inner_ring"
"-0.759","0.812","inner_ring"
"0.711","1.085","inner_ring"
"-1.106","-0.528","inner_ring"
"0.969","0.271","inner_ring"
"1.065","0.348","inner_ring"
"1.019","-0.157","inner_ring"
"0.091","1.283","inner_ring"
"1.246","-0.306","inner_ring"
"0.232","1.115","inner_ring"
"-1.087","0.105","inner_ring"
"1.094","0.074","inner_ring"
"-0.734","0.824","inner_ring"
"-0.096","-1.024","inner_ring"
"1.342","0.015","inner_ring"
"1.192","-0.12","inner_ring"
"1.114","0.515","inner_ring"
"0.493","0.999","inner_ring"
"0.746","1.028","inner_ring"
"-0.174","-1.056","inner_ring"
"0.414","-1.077","inner_ring"
"-0.251","1.311","inner_ring"
"-1.211","0.611","inner_ring"
"0.71","-1.032","inner_ring"
"-0.252","-1.045","inner_ring"
"0.784","0.895","inner_ring"
"1.146","-0.738","inner_ring"
"1.177","0.339","inner_ring"
"-0.243","-3.273","outer_ring"
"2.141","2.334","outer_ring"
"0.302","2.982","outer_ring"
"2.77","1.424","outer_ring"
"-0.721","-3.356","outer_ring"
"-3.382","0.155","outer_ring"
"2.556","1.733","outer_ring"
"-0.351","-2.92","outer_ring"
"2.82","1.187","outer_ring"
"-2.41","1.799","outer_ring"
"2.634","1.644","outer_ring"
"1.042","2.816","outer_ring"
"0.173","-3.298","outer_ring"
"0.751","2.961","outer_ring"
"2.734","1.309","outer_ring"
"-2.532","-1.978","outer_ring"
"0.67","3.118","outer_ring"
"-1.065","-3.163","outer_ring"
"1.809","2.331","outer_ring"
"0.99","-3.14","outer_ring"
"3.119","0.07","outer_ring"
"-3.105","-1.192","outer_ring"
"3.01","-1.226","outer_ring"
"2.751","-1.967","outer_ring"
